Index,UTC,relPosN,relPosE,CoG
632,14:10:18.875 02/25/2019,-1.8967,3.4102,105.33
633,14:10:19.000 02/25/2019,-1.9066,3.4202,105.33
634,14:10:19.125 02/25/2019,-1.9067,3.3902,105.33
635,14:10:19.250 02/25/2019,-1.9067,3.4102,105.33
636,14:10:19.375 02/25/2019,-1.9066,3.4202,105.33
637,14:10:19.500 02/25/2019,-1.9066,3.4102,105.33
638,14:10:19.625 02/25/2019,-1.8969,3.3802,105.33
639,14:10:19.750 02/25/2019,-1.9067,3.4102,105.33
640,14:10:19.875 02/25/2019,-1.8968,3.3902,105.33
641,14:10:20.000 02/25/2019,-1.9068,3.3802,105.33
642,14:10:20.125 02/25/2019,-1.8969,3.3702,105.33
643,14:10:20.250 02/25/2019,-1.8970,3.3702,105.33
644,14:10:20.375 02/25/2019,-1.9069,3.3702,105.33
645,14:10:20.500 02/25/2019,-1.8968,3.3802,105.33
646,14:10:20.625 02/25/2019,-1.8971,3.3402,105.33
647,14:10:20.750 02/25/2019,-1.8971,3.3402,105.33
648,14:10:20.875 02/25/2019,-1.8872,3.3202,105.33
649,14:10:21.000 02/25/2019,-1.8871,3.3302,105.33
650,14:10:21.125 02/25/2019,-1.8873,3.3102,105.33
651,14:10:21.250 02/25/2019,-1.8872,3.3102,105.33
652,14:10:21.375 02/25/2019,-1.8872,3.3102,105.33
653,14:10:21.500 02/25/2019,-1.8773,3.3002,105.33
654,14:10:21.625 02/25/2019,-1.8872,3.3002,105.33
655,14:10:21.750 02/25/2019,-1.8874,3.2902,105.33
656,14:10:21.875 02/25/2019,-1.8774,3.2802,105.33
657,14:10:22.000 02/25/2019,-1.8874,3.2602,105.33
658,14:10:22.125 02/25/2019,-1.8774,3.2602,105.33
659,14:10:22.250 02/25/2019,-1.8776,3.2602,105.33
660,14:10:22.375 02/25/2019,-1.8775,3.2702,105.33
661,14:10:22.500 02/25/2019,-1.8875,3.2502,105.33
662,14:10:22.625 02/25/2019,-1.8676,3.2402,105.33
663,14:10:22.750 02/25/2019,-1.8677,3.2302,105.33
664,14:10:22.875 02/25/2019,-1.8776,3.2402,105.33
665,14:10:23.000 02/25/2019,-1.8678,3.2202,105.33
666,14:10:23.125 02/25/2019,-1.8875,3.2502,105.33
667,14:10:23.250 02/25/2019,-1.8679,3.2202,105.33
668,14:10:23.375 02/25/2019,-1.8678,3.2102,105.33
669,14:10:23.500 02/25/2019,-1.8777,3.2202,105.33
670,14:10:23.625 02/25/2019,-1.8679,3.1902,105.33
671,14:10:23.750 02/25/2019,-1.8679,3.2002,105.33
672,14:10:23.875 02/25/2019,-1.8679,3.1902,105.33
673,14:10:24.000 02/25/2019,-1.8777,3.2102,105.33
674,14:10:24.125 02/25/2019,-1.8583,3.1402,105.33
675,14:10:24.250 02/25/2019,-1.8584,3.1202,105.33
676,14:10:24.375 02/25/2019,-1.8388,3.0802,105.33
677,14:10:24.500 02/25/2019,-1.8485,3.1102,105.33
678,14:10:24.625 02/25/2019,-1.8682,3.1502,105.33
679,14:10:24.750 02/25/2019,-1.8679,3.1802,105.33
680,14:10:24.875 02/25/2019,-1.8775,3.2302,105.33
681,14:10:25.000 02/25/2019,-1.8872,3.2602,105.33
682,14:10:25.125 02/25/2019,-1.8871,3.2602,105.33
683,14:10:25.250 02/25/2019,-1.8968,3.3202,105.33
684,14:10:25.375 02/25/2019,-1.9065,3.3502,105.33
685,14:10:25.500 02/25/2019,-1.9064,3.3502,105.33
686,14:10:25.625 02/25/2019,-1.9161,3.3802,105.33
687,14:10:25.750 02/25/2019,-1.9258,3.4202,105.33
688,14:10:25.875 02/25/2019,-1.9256,3.4402,105.33
689,14:10:26.000 02/25/2019,-1.9353,3.4702,105.33
690,14:10:26.125 02/25/2019,-1.9352,3.4802,105.33
691,14:10:26.250 02/25/2019,-1.9349,3.5102,105.33
692,14:10:26.375 02/25/2019,-1.9448,3.5202,105.33
693,14:10:26.500 02/25/2019,-1.9446,3.5402,105.33
694,14:10:26.625 02/25/2019,-1.9445,3.5602,105.33
695,14:10:26.750 02/25/2019,-1.9641,3.5802,105.33
696,14:10:26.875 02/25/2019,-1.9640,3.5902,105.33
697,14:10:27.000 02/25/2019,-1.9638,3.6202,105.33
698,14:10:27.125 02/25/2019,-1.9636,3.6402,105.33
699,14:10:27.250 02/25/2019,-1.9834,3.6502,105.33
700,14:10:27.375 02/25/2019,-1.9833,3.6602,105.33
701,14:10:27.500 02/25/2019,-1.9732,3.6802,105.33
702,14:10:27.625 02/25/2019,-1.9732,3.6802,105.33
703,14:10:27.750 02/25/2019,-1.9928,3.7102,105.33
704,14:10:27.875 02/25/2019,-1.9830,3.7102,105.33
705,14:10:28.000 02/25/2019,-1.9926,3.7402,105.33
706,14:10:28.125 02/25/2019,-1.9924,3.7602,105.33
707,14:10:28.250 02/25/2019,-1.9923,3.7702,105.33
708,14:10:28.375 02/25/2019,-2.0022,3.7802,105.33
709,14:10:28.500 02/25/2019,-2.0019,3.8202,105.33
710,14:10:28.625 02/25/2019,-2.0117,3.8402,105.33
711,14:10:28.750 02/25/2019,-2.0116,3.8402,105.33
712,14:10:28.875 02/25/2019,-2.0017,3.8502,105.33
713,14:10:29.000 02/25/2019,-2.0213,3.8802,105.33
714,14:10:29.125 02/25/2019,-2.0311,3.9102,105.33
715,14:10:29.250 02/25/2019,-2.0210,3.9202,105.33
716,14:10:29.375 02/25/2019,-2.0309,3.9202,105.33
717,14:10:29.500 02/25/2019,-2.0308,3.9402,105.33
718,14:10:29.625 02/25/2019,-2.0405,3.9702,105.33
719,14:10:29.750 02/25/2019,-2.0306,3.9602,105.33
720,14:10:29.875 02/25/2019,-2.0304,3.9802,105.33
721,14:10:30.000 02/25/2019,-2.0403,3.9802,105.33
722,14:10:30.125 02/25/2019,-2.0205,3.9902,105.33
723,14:10:30.250 02/25/2019,-2.0502,4.0002,105.33
724,14:10:30.375 02/25/2019,-2.0402,4.0002,105.33
725,14:10:30.500 02/25/2019,-2.0598,4.0202,105.33
726,14:10:30.625 02/25/2019,-2.0499,4.0202,105.33
727,14:10:30.750 02/25/2019,-2.0498,4.0402,105.33
728,14:10:30.875 02/25/2019,-2.0398,4.0402,105.33
729,14:10:31.000 02/25/2019,-2.0398,4.0302,105.33
730,14:10:31.125 02/25/2019,-2.0595,4.0602,105.33
731,14:10:31.250 02/25/2019,-2.0496,4.0502,105.33
732,14:10:31.375 02/25/2019,-2.0494,4.0702,105.33
733,14:10:31.500 02/25/2019,-2.0592,4.0802,105.33
734,14:10:31.625 02/25/2019,-2.0593,4.0802,105.33
735,14:10:31.750 02/25/2019,-2.0591,4.1002,105.33
